PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Marvin Mitchell	MIN	1.8	1.1	0.6	0.04	0.03	0.09	0.04	0.1
Kroy Biermann	ATL	1.8	1	1.7	0.12	0.01	0.01	0.05	0.04
Sergio Kindle	BAL	1.8	1.3	0.6	0.13	0.01	0.02	0.01	0.07
Miles Burris	OAK	1.8	1.4	0.6	0.05	0.04	0.09	0.01	0.06
Clark Haggans	SF	1.7	1.5	0.9	0	0.03	0	0	0.09
Jerrell Freeman	IND	1.7	1.4	1	0.02	0.06	0.02	0	0.04
Brendon Ayanbadejo	BAL	1.6	1.1	0.3	0.04	0.08	0.03	0.01	0.08
Akeem Jordan	PHI	1.6	1.3	0.5	0.03	0.02	0.01	0.02	0.04
Dekoda Watson	TB	1.6	1.1	0.2	0.05	0.08	0.06	0	0.08
Kirk Morrison	BUF	1.5	1.3	0.9	0.03	0.01	0.02	0.01	0.06
Adam Hayward	TB	1.5	1.3	0.3	0.01	0.05	0.01	0.01	0.02
Nick Roach	CHI	1.5	1.4	0.4	0.01	0.02	0.01	0	0.13
Tahir Whitehead	DET	1.5	1	0.4	0.07	0.02	0.05	0.01	0.03
Ronnell Lewis	DET	1.4	1	0.5	0.08	0.01	0.03	0	0.04
Victor Butler	DAL	1.3	0.7	0.4	0.15	0.02	0.02	0.01	0.04
Gerald McRath	TEN	1.3	1.2	0.5	0.04	0.01	0.01	0	0.07
Arthur Moats	BUF	1.3	0.5	1	0.11	0.05	0.1	0.01	0.02
Zac Diles	TEN	1.3	1.1	0.6	0.03	0.01	0.01	0	0.03
Moise Fokou	IND	1.2	1.1	1.4	0.02	0.01	0.05	0	0.08
Keenan Clayton	OAK	1.2	1	0.8	0.03	0.02	0.02	0.01	0.15
Will Herring	NO	1.1	0.6	0.2	0.02	0.01	0.03	0.06	0.11
Jermaine Cunningham	NE	1.1	0.6	0.4	0.03	0.01	0.12	0.02	0.04
Darryl Sharpton	HOU	1.1	0.8	0.3	0.05	0.02	0	0.01	0.05
Najee Goode	TB	1.1	0.9	0.3	0.01	0.01	0.05	0.01	0.03
Adrian Tracy	NYG	1.1	0.8	0.4	0.02	0.01	0.01	0.02	0.04
Tim Dobbins	HOU	1	0.6	0.3	0.04	0.01	0.11	0.01	0.04
Brandon Johnson	PIT	1	0.7	0.8	0.04	0	0	0.02	0.18
Travis Goethel	OAK	0.9	0.7	0.2	0.03	0.01	0.02	0.01	0.05
Martez Wilson	NO	0.9	0.3	0.3	0.14	0.01	0.05	0	0.05
Brandon Marshall	JAC	0.9	0.8	0.4	0	0.01	0.04	0	0.04
Tracy White	NE	0.8	0.5	0.6	0.03	0.01	0.02	0.02	0.04
Demorrio Williams	SD	0.8	0.6	0.2	0.01	0.03	0.02	0.01	0.04
Tim Shaw	TEN	0.8	0.4	0.2	0.04	0.02	0.01	0.01	0.03
Patrick Bailey	TEN	0.8	0.5	0.2	0.03	0.01	0.01	0.01	0.04
Ashlee Palmer	DET	0.8	0.6	0.2	0.04	0.01	0.02	0.01	0.03
Eugene Sims	STL	0.8	0.6	0.2	0.04	0.03	0.01	0	0.06
Austin Spitler	MIA	0.8	0.4	0.1	0.04	0.07	0.01	0.01	0.06
Bruce Carter	DAL	0.8	0.6	0.3	0.02	0.02	0.02	0.01	0.08
Blake Costanzo	CHI	0.7	0.4	0.1	0.01	0.06	0.01	0.01	0.03
Tavares Gooden	SF	0.7	0.4	0.1	0.04	0.02	0.02	0.01	0.06
Trevor Scott	NE	0.7	0.4	0.4	0.02	0.02	0.01	0.01	0.04
Andy Studebaker	KC	0.7	0.3	0.5	0.03	0.04	0.07	0.01	0.05
Akeem Dent	ATL	0.7	0.5	0.3	0.02	0.01	0.01	0.01	0.04
Malcolm Smith	SEA	0.7	0.4	0.2	0.08	0.02	0.02	0.01	0.04
Nigel Bradham	BUF	0.7	0.6	0.4	0	0	0.02	0	0.03
Darius Fleming	SF	0.7	0.7	0.2	0	0.02	0	0	0.03
Travis Lewis	DET	0.7	0.5	0.2	0.04	0.01	0.05	0	0.03
Heath Farwell	SEA	0.6	0.4	0.2	0.02	0.01	0.01	0.01	0.06
