PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Keenan Clayton	OAK	1.2	0.9	0.7	0.03	0.03	0.02	0.01	0.19
Martez Wilson	NO	1.2	0.3	0.3	0.17	0.01	0.14	0.01	0.04
Brandon Johnson	PIT	1.2	1	0.8	0.01	0	0.01	0.01	0.18
Zac Diles	TEN	1.2	1.1	0.6	0.02	0	0.01	0	0.03
Tim Dobbins	HOU	1.1	0.7	0.3	0.04	0.02	0.1	0.01	0.07
Moise Fokou	IND	1.1	0.9	1.1	0.02	0	0.02	0	0.08
Brandon Marshall	JAC	1.1	0.9	0.6	0	0.02	0.07	0	0.02
Terrell Manning	GB	1	0.7	0.3	0	0.02	0.07	0.01	0.05
Adrian Tracy	NYG	1	0.7	0.3	0.06	0.02	0.01	0.01	0.06
Eugene Sims	STL	0.9	0.6	0.1	0.03	0.05	0.01	0.01	0.07
Tracy White	NE	0.8	0.5	0.7	0.03	0.02	0.02	0.01	0.05
Tim Shaw	TEN	0.8	0.5	0.2	0.02	0.02	0.02	0.01	0.04
Trevor Scott	NE	0.8	0.4	0.4	0.04	0.01	0.02	0.02	0.04
Patrick Bailey	TEN	0.8	0.5	0.2	0.01	0.02	0.01	0.01	0.03
Ashlee Palmer	DET	0.8	0.7	0.2	0.03	0.02	0.02	0	0.02
Travis Goethel	OAK	0.8	0.5	0.2	0.04	0.02	0.02	0.01	0.06
Malcolm Smith	SEA	0.8	0.5	0.2	0.09	0.01	0.01	0	0.04
Travis Lewis	DET	0.8	0.5	0.2	0.03	0.02	0.07	0	0.03
Heath Farwell	SEA	0.7	0.4	0.2	0.04	0.02	0.01	0	0.03
Josh Hull	STL	0.7	0.4	0.1	0.03	0.02	0.01	0.01	0.04
Bruce Carter	DAL	0.7	0.5	0.2	0.03	0.02	0.01	0.01	0.08
Darius Fleming	SF	0.7	0.6	0.2	0	0.01	0	0	0.05
Blake Costanzo	CHI	0.6	0.4	0.1	0.01	0.07	0	0.01	0.04
Tavares Gooden	SF	0.6	0.4	0.1	0.03	0.02	0.01	0.01	0.05
Jason Phillips	CAR	0.6	0.5	0.2	0.02	0.02	0.02	0.01	0.03
Stevenson Sylvester	PIT	0.6	0.4	0.2	0.01	0.02	0.01	0.01	0.04
Kenny Onatolu	CAR	0.5	0.4	0.2	0.02	0.01	0.01	0.01	0.02
Doug Hogue	DET	0.5	0.3	0.2	0.03	0.02	0.01	0	0.02
Nigel Bradham	BUF	0.5	0.5	0.4	0	0	0.01	0	0.05
Chris Carter	PIT	0.5	0.4	0.2	0.01	0.01	0	0	0.05
Ricky Brown	BAL	0.5	0.3	0.2	0.01	0.04	0.04	0	0.04
Chris White	BUF	0.3	0.3	0.2	0	0.01	0	0	0.05
James Farrior	PIT	0	0	0	0	0	0	0	0
Keith Brooking	DEN	0	0	0	0	0	0	0	0
Takeo Spikes	SD	0	0	0	0	0	0	0	0
Mike Peterson	ATL	0	0	0	0	0	0	0	0
Nail Diggs	SD	0	0	0	0	0	0	0	0
E.J. Henderson	MIN	0	0	0	0	0	0	0	0
Jarret Johnson	SD	0	0	0	0	0	0	0	0
D.J. Williams	DEN	0	0	0	0	0	0	0	0
Karlos Dansby	MIA	0	0	0	0	0	0	0	0
Shaun Phillips	SD	0	0	0	0	0	0	0	0
Demorrio Williams	SD	0	0	0	0	0	0	0	0
Thomas Davis	CAR	0	0	0	0	0	0	0	0
Derrick Johnson	KC	0	0	0	0	0	0	0	0
Kevin Burnett	MIA	0	0	0	0	0	0	0	0
Matt McCoy	SEA	0	0	0	0	0	0	0	0
Darryl Blackstock	BAL	0	0	0	0	0	0	0	0
Bobby Carpenter	NE	0	0	0	0	0	0	0	0
Tamba Hali	KC	0	0	0	0	0	0	0	0
DeMeco Ryans	PHI	0	0	0	0	0	0	0	0
Chris Gocong	CLE	0	0	0	0	0	0	0	0
Elvis Dumervil	DEN	0	0	0	0	0	0	0	0
Omar Gaither	HOU	0	0	0	0	0	0	0	0
Stephen Nicholas	ATL	0	0	0	0	0	0	0	0
Antwan Barnes	SD	0	0	0	0	0	0	0	0
Desmond Bishop	GB	0	0	0	0	0	0	0	0
Brandon Siler	KC	0	0	0	0	0	0	0	0
Akeem Jordan	PHI	0	0	0	0	0	0	0	0
Antwan Applewhite	CAR	0	0	0	0	0	0	0	0
Robert James	ATL	0	0	0	0	0	0	0	0
Kroy Biermann	ATL	0	0	0	0	0	0	0	0
Thomas Williams	TB	0	0	0	0	0	0	0	0
Joe Mays	DEN	0	0	0	0	0	0	0	0
Andy Studebaker	KC	0	0	0	0	0	0	0	0
Chris Chamberlain	NO	0	0	0	0	0	0	0	0
Gary Guyton	MIA	0	0	0	0	0	0	0	0
Wesley Woodyard	DEN	0	0	0	0	0	0	0	0
Aaron Curry	OAK	0	0	0	0	0	0	0	0
Larry English	SD	0	0	0	0	0	0	0	0
Robert Ayers	DEN	0	0	0	0	0	0	0	0
Jason Williams	CAR	0	0	0	0	0	0	0	0
Spencer Adkins	ATL	0	0	0	0	0	0	0	0
Marcus Benard	CLE	0	0	0	0	0	0	0	0
Jovan Belcher	KC	0	0	0	0	0	0	0	0
Reggie Walker	ARI	0	0	0	0	0	0	0	0
Cameron Wake	MIA	0	0	0	0	0	0	0	0
Josh Mauga	NYJ	0	0	0	0	0	0	0	0
Sean Weatherspoon	ATL	0	0	0	0	0	0	0	0
Koa Misi	MIA	0	0	0	0	0	0	0	0
Donald Butler	SD	0	0	0	0	0	0	0	0
Darryl Sharpton	HOU	0	0	0	0	0	0	0	0
A.J. Edds	IND	0	0	0	0	0	0	0	0
Eric Norwood	CAR	0	0	0	0	0	0	0	0
Jamar Chaney	PHI	0	0	0	0	0	0	0	0
Austin Spitler	MIA	0	0	0	0	0	0	0	0
Antonio Coleman	ARI	0	0	0	0	0	0	0	0
Von Miller	DEN	0	0	0	0	0	0	0	0
Dontay Moch	CIN	0	0	0	0	0	0	0	0
Nate Irving	DEN	0	0	0	0	0	0	0	0
Justin Houston	KC	0	0	0	0	0	0	0	0
Akeem Dent	ATL	0	0	0	0	0	0	0	0
Casey Matthews	PHI	0	0	0	0	0	0	0	0
Greg Jones	NYG	0	0	0	0	0	0	0	0
Mike Mohamed	DEN	0	0	0	0	0	0	0	0
Brian Rolle	PHI	0	0	0	0	0	0	0	0
J.T. Thomas	CHI	0	0	0	0	0	0	0	0
Andrew Gachkar	SD	0	0	0	0	0	0	0	0
Cameron Sheffield	KC	0	0	0	0	0	0	0	0
Melvin Ingram	SD	0	0	0	0	0	0	0	0
Mychal Kendricks	PHI	0	0	0	0	0	0	0	0
Bryan Kehl	WAS	0	0	0	0	0	0	0	0
