PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Tyrone Crawford	DAL	1	0.7	0.3	0.08	0.02	0.01	0	0.01
David Carter	ARI	0.9	0.6	0.4	0.05	0.01	0.08	0	0.07
Kheeston Randall	MIA	0.9	0.5	0.2	0.1	0.03	0.02	0	0.01
Peria Jerry	ATL	0.8	0.5	0.3	0.04	0.01	0.08	0	0.04
Alex Carrington	BUF	0.8	0.5	0.3	0	0.01	0.01	0	0.06
Jared Crick	HOU	0.8	0.5	0.2	0.08	0.01	0.01	0	0.02
Markus Kuhn	NYG	0.8	0.4	0.2	0.1	0.02	0.01	0	0.02
Jerry Hughes	IND	0.7	0.4	0.3	0.1	0.01	0.02	0	0
Daniel Teo-Nesheim	TB	0.7	0.4	0.2	0.04	0.03	0.02	0	0
Cam Thomas	SD	0.7	0.6	0.4	0	0.01	0.01	0	0.06
Sione Fua	CAR	0.7	0.4	0.6	0.04	0.03	0.02	0	0
Cheta Ozougwu	CHI	0.7	0.6	0.3	0.02	0.01	0.01	0	0.02
Fletcher Cox	PHI	0.7	0.5	0.2	0.05	0.02	0.01	0	0.01
Alameda Taamu	PIT	0.7	0.6	0.3	0.02	0	0.01	0	0.03
Jaye Howard	SEA	0.7	0.4	0.3	0.09	0.02	0.01	0	0.01
Jack Crawford	OAK	0.7	0.4	0.2	0.04	0.03	0.02	0	0.02
Marvin Austin	NYG	0.7	0.4	0.2	0.09	0.02	0.01	0	0.01
Mike Martin	TEN	0.7	0.4	0.2	0.05	0.02	0.02	0	0
Nick Eason	ARI	0.6	0.4	0.4	0.05	0.01	0.01	0	0.01
Pat Sims	CIN	0.6	0.6	0.6	0	0.01	0.01	0	0.01
George Selvie	JAC	0.6	0.4	0.2	0	0.03	0.01	0	0
Christian Ballard	MIN	0.6	0.5	0.5	0.03	0.01	0.02	0	0
Derek Wolfe	DEN	0.6	0.4	0.2	0.03	0.01	0.01	0	0.02
Devon Still	CIN	0.6	0.4	0.3	0.03	0.02	0.02	0	0.01
John Hughes	CLE	0.6	0.4	0.2	0.05	0.02	0.01	0	0.01
Brandon Thompson	CIN	0.6	0.4	0.3	0.04	0.02	0.01	0	0.01
Billy Winn	CLE	0.6	0.4	0.2	0.05	0.01	0.01	0	0.01
Phillip Merling	GB	0.6	0.4	0.2	0.05	0.01	0.01	0	0.3
Corey Wootton	CHI	0.5	0.3	0.3	0.06	0	0.01	0	0
Akiem Hicks	NO	0.5	0.3	0.1	0.04	0.01	0.01	0	0.01
Josh Chapman	IND	0.5	0.3	0.2	0.07	0	0.01	0	0.01
Malik Jackson	DEN	0.5	0.3	0.1	0.04	0	0.01	0	0.01
Christo Bilukidi	OAK	0.5	0.3	0.1	0.05	0.01	0.02	0	0.01
Greg Scruggs	SEA	0.5	0.3	0.1	0.06	0.01	0.01	0	0.01
DeAngelo Tyson	BAL	0.5	0.3	0.2	0.06	0.01	0.01	0	0.01
Mike Neal	GB	0.4	0.3	0.2	0	0.01	0.09	0	0.01
Mike Daniels	GB	0.4	0.3	0.1	0	0	0	0.01	0.01
Travian Robertson	ATL	0.4	0.4	0.3	0	0.01	0.01	0	0.01
Justin Smith	SF	0	0	0	0	0	0	0	0
Andre Carter	NE	0	0	0	0	0	0	0	0
Shaun Rogers	NYG	0	0	0	0	0	0	0	0
Terrell Suggs	BAL	0	0	0	0	0	0	0	0
Ty Warren	DEN	0	0	0	0	0	0	0	0
Tyler Brayton	IND	0	0	0	0	0	0	0	0
Jacques Cesaire	SD	0	0	0	0	0	0	0	0
Shaun Smith	TEN	0	0	0	0	0	0	0	0
Vince Wilfork	NE	0	0	0	0	0	0	0	0
Darrion Scott	WAS	0	0	0	0	0	0	0	0
Anthony Hargrove	GB	0	0	0	0	0	0	0	0
Isaac Sopoaga	SF	0	0	0	0	0	0	0	0
Dave Ball	TEN	0	0	0	0	0	0	0	0
Amon Gordon	KC	0	0	0	0	0	0	0	0
Luis Castillo	SD	0	0	0	0	0	0	0	0
Sione Pouha	NYJ	0	0	0	0	0	0	0	0
Chauncey Davis	CHI	0	0	0	0	0	0	0	0
Jonathan Fanene	NE	0	0	0	0	0	0	0	0
John McCargo	CHI	0	0	0	0	0	0	0	0
Rob Ninkovich	NE	0	0	0	0	0	0	0	0
Brandon McKinney	IND	0	0	0	0	0	0	0	0
Remi Ayodele	NO	0	0	0	0	0	0	0	0
Ray McDonald	SF	0	0	0	0	0	0	0	0
Jeff Charleston	MIN	0	0	0	0	0	0	0	0
Chris Long	STL	0	0	0	0	0	0	0	0
Derrick Harvey	CIN	0	0	0	0	0	0	0	0
Trevor Laws	STL	0	0	0	0	0	0	0	0
Kendall Langford	STL	0	0	0	0	0	0	0	0
Andre Fluellen	DET	0	0	0	0	0	0	0	0
William Hayes	STL	0	0	0	0	0	0	0	0
DeMario Pressley	CHI	0	0	0	0	0	0	0	0
Jason Shirley	IND	0	0	0	0	0	0	0	0
Nick Hayden	CIN	0	0	0	0	0	0	0	0
Brian Schaefering	CLE	0	0	0	0	0	0	0	0
Aaron Maybin	NYJ	0	0	0	0	0	0	0	0
Everette Brown	DET	0	0	0	0	0	0	0	0
Darell Scott	STL	0	0	0	0	0	0	0	0
Jarius Wynn	GB	0	0	0	0	0	0	0	0
Myron Pryor	NE	0	0	0	0	0	0	0	0
Antonio Dixon	PHI	0	0	0	0	0	0	0	0
Brian Price	CHI	0	0	0	0	0	0	0	0
Torell Troup	BUF	0	0	0	0	0	0	0	0
Corey Peters	ATL	0	0	0	0	0	0	0	0
Brandon Deaderick	NE	0	0	0	0	0	0	0	0
Kyle Love	NE	0	0	0	0	0	0	0	0
