PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
David Caldwell	IND	0	0	0	0	0	0	0	0
Darrin Walls	ATL	0	0	0	0	0	0	0	0
Kevin Rutland	JAC	0	0	0	0	0	0	0	0
Morris Claiborne	DAL	0	0	0	0	0	0	0	0
Mark Barron	TB	0	0	0	0	0	0	0	0
Dwight Bentley	DET	0	0	0	0	0	0	0	0
Matt Johnson	DAL	0	0	0	0	0	0	0	0
Chris Greenwood	DET	0	0	0	0	0	0	0	0
Markelle Martin	TEN	0	0	0	0	0	0	0	0
Jonte Green	DET	0	0	0	0	0	0	0	0
Reggie Corner	JAC	0	0	0	0	0	0	0	0
Drew Coleman	DET	0	0	0	0	0	0	0	0
Phillip Adams	OAK	0	0	0	0	0	0	0	0
Mana Silva	DAL	0	0	0	0	0	0	0	0
James Ihedigbo	BAL	0	0	0	0	0	0	0	0
Robert McClain	ATL	0	0	0	0	0	0	0	0
